1.000000  0.001470
  0.998459  0.001722
  0.993844  0.002474
  0.986185  0.003712
  0.975528  0.005416
  0.961940  0.007557
  0.945503  0.010101
  0.926320  0.013007
  0.904508  0.016233
  0.880203  0.019733
  0.853553  0.023458
  0.824724  0.027361
  0.793893  0.031389
  0.761249  0.035494
  0.726995  0.039623
  0.691342  0.043722
  0.654508  0.047737
  0.616723  0.051610
  0.578217  0.055280
  0.539230  0.058686
  0.500000  0.061764
  0.460770  0.064447
  0.421783  0.066673
  0.383277  0.068378
  0.345492  0.069504
  0.308658  0.070000
  0.273005  0.069823
  0.238751  0.068941
  0.206107  0.067333
  0.175276  0.064994
  0.146447  0.061930
  0.119797  0.058163
  0.095492  0.053724
  0.073680  0.048656
  0.054497  0.043011
  0.038060  0.036843
  0.024472  0.030209
  0.013815  0.023163
  0.006156  0.015754
  0.001541  0.008023
  0.000000  0.000000
  0.001541 -0.008023
  0.006156 -0.015754
  0.013815 -0.023163
  0.024472 -0.030209
  0.038060 -0.036843
  0.054497 -0.043011
  0.073680 -0.048656
  0.095492 -0.053724
  0.119797 -0.058163
  0.146447 -0.061930
  0.175276 -0.064994
  0.206107 -0.067333
  0.238751 -0.068941
  0.273005 -0.069823
  0.308658 -0.070000
  0.345492 -0.069504
  0.383277 -0.068378
  0.421783 -0.066673
  0.460770 -0.064447
  0.500000 -0.061764
  0.539230 -0.058686
  0.578217 -0.055280
  0.616723 -0.051610
  0.654508 -0.047737
  0.691342 -0.043722
  0.726995 -0.039623
  0.761249 -0.035494
  0.793893 -0.031389
  0.824724 -0.027361
  0.853553 -0.023458
  0.880203 -0.019733
  0.904508 -0.016233
  0.926320 -0.013007
  0.945503 -0.010101
  0.961940 -0.007557
  0.975528 -0.005416
  0.986185 -0.003712
  0.993844 -0.002474
  0.998459 -0.001722
  1.000000 -0.001470
